id,user_id,product_id,created_at,updated_at
4472,2588,9184,2022-08-17 14:45:16,2022-08-17 14:45:16
4477,4248,1954,2022-08-19 12:15:07,2022-08-19 12:15:07
4478,4248,1480,2022-08-19 12:15:21,2022-08-19 12:15:21
4479,4667,12192,2022-08-22 00:08:06,2022-08-22 00:08:06
4480,762,12280,2022-08-26 14:17:38,2022-08-26 14:17:38
4481,762,12449,2022-08-26 14:20:05,2022-08-26 14:20:05
4482,762,12714,2022-08-26 14:20:52,2022-08-26 14:20:52
4483,762,704,2022-08-26 14:21:18,2022-08-26 14:21:18
4484,762,1048,2022-08-26 14:21:41,2022-08-26 14:21:41
4485,762,10133,2022-08-26 14:22:00,2022-08-26 14:22:00
4486,762,12606,2022-08-26 14:23:03,2022-08-26 14:23:03
4487,762,12180,2022-08-26 14:25:55,2022-08-26 14:25:55
4488,762,1042,2022-08-26 14:27:20,2022-08-26 14:27:20
4489,762,3256,2022-08-26 14:28:34,2022-08-26 14:28:34
4490,762,3278,2022-08-26 14:28:40,2022-08-26 14:28:40
4491,762,12203,2022-08-26 14:29:18,2022-08-26 14:29:18
4492,762,12589,2022-08-26 14:29:46,2022-08-26 14:29:46
4493,762,2468,2022-08-26 14:32:30,2022-08-26 14:32:30
4494,762,2140,2022-08-28 00:06:26,2022-08-28 00:06:26
4495,762,964,2022-08-28 00:07:26,2022-08-28 00:07:26
4496,762,1418,2022-08-28 00:09:46,2022-08-28 00:09:46
4497,762,2370,2022-08-28 00:10:32,2022-08-28 00:10:32
4499,762,2558,2022-08-28 00:12:13,2022-08-28 00:12:13
4500,762,830,2022-08-28 00:13:55,2022-08-28 00:13:55
4501,762,836,2022-08-28 00:13:59,2022-08-28 00:13:59
4502,762,846,2022-08-28 00:14:20,2022-08-28 00:14:20
4503,762,850,2022-08-28 00:14:23,2022-08-28 00:14:23
4504,762,858,2022-08-28 00:14:31,2022-08-28 00:14:31
4505,762,998,2022-08-28 00:15:31,2022-08-28 00:15:31
4506,762,12422,2022-08-28 00:17:48,2022-08-28 00:17:48
4507,762,12423,2022-08-28 00:18:12,2022-08-28 00:18:12
4508,762,12712,2022-08-28 00:19:21,2022-08-28 00:19:21
4509,762,12413,2022-08-28 00:22:21,2022-08-28 00:22:21
4510,762,856,2022-08-28 00:22:41,2022-08-28 00:22:41
4511,762,2664,2022-08-28 00:23:21,2022-08-28 00:23:21
4512,762,12558,2022-08-28 00:44:20,2022-08-28 00:44:20
4513,762,1510,2022-08-28 00:46:22,2022-08-28 00:46:22
4514,762,2584,2022-08-28 00:48:01,2022-08-28 00:48:01
4515,762,2668,2022-08-28 00:48:51,2022-08-28 00:48:51
4516,762,2672,2022-08-28 00:49:03,2022-08-28 00:49:03
4517,4570,942,2022-08-29 12:04:16,2022-08-29 12:04:16
4520,4272,12362,2022-09-04 19:18:00,2022-09-04 19:18:00
4527,2725,1874,2022-09-05 18:25:52,2022-09-05 18:25:52
4532,4502,12697,2022-09-12 13:59:47,2022-09-12 13:59:47
4537,4682,12742,2022-09-16 23:48:46,2022-09-16 23:48:46
4538,4635,1186,2022-09-21 23:25:32,2022-09-21 23:25:32
4539,4635,1188,2022-09-21 23:25:42,2022-09-21 23:25:42
4540,1610,12221,2022-09-28 19:56:58,2022-09-28 19:56:58
4541,4697,1994,2022-09-28 22:56:10,2022-09-28 22:56:10
4542,1318,10558,2022-10-02 17:06:31,2022-10-02 17:06:31
4543,1318,12220,2022-10-02 17:06:51,2022-10-02 17:06:51
4545,4440,12273,2022-10-04 16:08:48,2022-10-04 16:08:48
4546,4440,12417,2022-10-04 16:09:14,2022-10-04 16:09:14
4547,4440,12676,2022-10-04 16:09:50,2022-10-04 16:09:50
4549,1803,660,2022-10-04 23:19:22,2022-10-04 23:19:22
4553,4682,12287,2022-10-15 13:49:06,2022-10-15 13:49:06
4556,2725,282,2022-10-20 21:25:34,2022-10-20 21:25:34
4557,2725,3420,2022-10-20 22:04:50,2022-10-20 22:04:50
4559,3744,12762,2022-10-24 16:16:33,2022-10-24 16:16:33
4560,2719,12763,2022-10-25 21:54:22,2022-10-25 21:54:22
4566,1803,12668,2022-10-31 16:45:22,2022-10-31 16:45:22
4567,2725,1924,2022-10-31 21:38:40,2022-10-31 21:38:40
4568,1803,11324,2022-11-01 18:08:29,2022-11-01 18:08:29
4569,4635,11288,2022-11-03 21:55:53,2022-11-03 21:55:53
4570,4630,12758,2022-11-04 14:59:44,2022-11-04 14:59:44
4572,4737,1644,2022-11-18 10:39:17,2022-11-18 10:39:17
4573,4737,10798,2022-11-18 10:49:38,2022-11-18 10:49:38
4574,4737,12671,2022-11-18 10:51:52,2022-11-18 10:51:52
4575,4737,12767,2022-11-18 10:52:28,2022-11-18 10:52:28
4576,4737,3292,2022-11-18 10:53:27,2022-11-18 10:53:27
4577,2190,12420,2022-11-19 11:45:26,2022-11-19 11:45:26
4578,2190,9319,2022-11-19 11:47:02,2022-11-19 11:47:02
4579,2190,10540,2022-11-19 12:15:39,2022-11-19 12:15:39
4581,3365,1458,2022-11-20 19:17:20,2022-11-20 19:17:20
4583,2190,11704,2022-11-26 19:01:35,2022-11-26 19:01:35
4584,706,1212,2022-11-28 11:12:46,2022-11-28 11:12:46
4585,4751,3484,2022-12-05 00:56:08,2022-12-05 00:56:08
4586,4751,222,2022-12-05 00:59:24,2022-12-05 00:59:24
4587,4751,234,2022-12-05 01:00:11,2022-12-05 01:00:11
4588,4751,244,2022-12-05 01:01:20,2022-12-05 01:01:20
4589,4751,248,2022-12-05 01:01:55,2022-12-05 01:01:55
4590,4751,8856,2022-12-05 01:03:02,2022-12-05 01:03:02
4591,4751,12250,2022-12-05 01:03:46,2022-12-05 01:03:46
