id,order_id,product_id,last_product_quantity,created_at,updated_at
112,25281,12250,2,2023-04-25 04:25:29,2023-04-25 04:25:29
113,25281,12250,1,2023-04-25 04:36:11,2023-04-25 04:36:11
114,25281,12250,2,2023-04-25 04:36:33,2023-04-25 04:36:33
115,25281,12250,1,2023-04-25 04:37:38,2023-04-25 04:37:38
116,25281,12250,2,2023-04-25 04:45:39,2023-04-25 04:45:39
117,25281,12250,1,2023-04-25 04:46:02,2023-04-25 04:46:02
118,25281,12250,2,2023-04-25 04:47:28,2023-04-25 04:47:28
119,25428,12718,4,2023-05-12 09:59:14,2023-05-12 09:59:14
120,25428,12718,1,2023-05-15 03:29:19,2023-05-15 03:29:19
121,25428,12718,4,2023-05-15 03:29:48,2023-05-15 03:29:48
122,25428,12718,1,2023-05-15 03:30:28,2023-05-15 03:30:28
123,25428,12718,1,2023-05-15 03:30:55,2023-05-15 03:30:55
124,25428,12718,1,2023-05-15 03:31:58,2023-05-15 03:31:58
125,25428,12718,4,2023-05-15 03:32:50,2023-05-15 03:32:50
126,25428,12718,1,2023-05-15 06:25:13,2023-05-15 06:25:13
127,25428,12718,2,2023-05-15 06:26:35,2023-05-15 06:26:35
128,25428,12718,1,2023-05-15 06:27:58,2023-05-15 06:27:58
129,25428,12718,2,2023-05-15 06:33:34,2023-05-15 06:33:34
130,25428,12718,1,2023-05-15 06:34:04,2023-05-15 06:34:04
131,25428,12718,1,2023-05-15 06:34:16,2023-05-15 06:34:16
132,25428,12718,2,2023-05-15 06:36:25,2023-05-15 06:36:25
133,25428,12718,1,2023-05-15 06:38:47,2023-05-15 06:38:47
134,25428,12718,2,2023-05-15 06:42:14,2023-05-15 06:42:14
135,25428,12718,1,2023-05-15 06:45:34,2023-05-15 06:45:34
136,25428,12718,2,2023-05-15 06:46:39,2023-05-15 06:46:39
137,25428,12718,1,2023-05-15 06:55:53,2023-05-15 06:55:53
138,25428,12718,1,2023-05-15 07:01:00,2023-05-15 07:01:00
139,25428,12718,1,2023-05-15 07:01:39,2023-05-15 07:01:39
140,25428,12718,1,2023-05-15 07:02:04,2023-05-15 07:02:04
141,25428,12718,2,2023-05-15 07:02:18,2023-05-15 07:02:18
142,25428,12718,1,2023-05-15 07:02:55,2023-05-15 07:02:55
143,25428,12718,2,2023-05-15 07:03:16,2023-05-15 07:03:16
144,25428,12718,1,2023-05-15 07:07:27,2023-05-15 07:07:27
146,25281,12250,1,2023-06-20 01:08:15,2023-06-20 01:08:15
147,25281,12250,7,2023-06-20 02:05:38,2023-06-20 02:05:38
148,25281,12250,1,2023-06-20 02:10:44,2023-06-20 02:10:44
149,25281,12250,2,2023-06-20 02:14:33,2023-06-20 02:14:33
150,25585,1846,2,2023-06-20 02:15:35,2023-06-20 02:15:35
151,25585,1846,1,2023-06-20 02:16:26,2023-06-20 02:16:26
