Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
,accelerator-cable-lock-piece-for-bottom-of-pedal-all-vanagon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/251721577.jpg,2,Accelerator Cable Lock piece for bottom of pedal all Vanagon,,,,,,,,,,,,,,,,,,
Rear Wiper Arm for All Vanagon,rear-wiper-arm-for-all-vanagon,<p>This is the black rear wiper arm that is on the rear hatch of all Vanagons that had rear wipers.&nbsp; This attaches to the linkage and then the wiper blade attaches to the other end of it.&nbsp; &nbsp;OE VW!</p>,VanAgain,Body - Electrical,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body - Electrical, Body Mechanical & Trim, product-id:11667, orders:11, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,251955707,,,,,,,,,,,69.00,,,TRUE,,,,,,shopify,2,DENY,1,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/251955707.jpg,1,Rear Wiper Arm for All Vanagon,,FALSE,Rear Wiper Arm for All Vanagon,"Rear Wiper Arm for All Vanagon-80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Body - Electrical,,Adult,251955707,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Body - Electrical, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Body - Electrical,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
Front Carpet Set for Vanagon molded in dark Grey color,front-carpet-set-for-vanagon-molded-in-grey-oe-color,"<p>7 Piece OE spec carpet set finished in luxurious tufted dark grey pile to fit left hand drive gas powered Vanagon with manual or automatic transmission.&nbsp; &nbsp;If will work with all Vanagons from 80-92 except diesel as they have a different front floor arrangement.&nbsp; The color is darker grey than the later model vans from 87-92 but it would match the lighter grey interior no problem.&nbsp; Since you are replacing all of the front carpet at once I don&#39;t think it is a big deal that it is darker.&nbsp; You could also use this to retrofit the grey interior into an earlier Vanagon. The picture is showing the black version for clarity sake.&nbsp; The one you are purchasing is darker&nbsp;grey color that could have been stock in Europe.&nbsp; Here the grey we got in our later model Vanagons was pretty light.&nbsp; This is more a couple shades darker.&nbsp; It is tufted carpet and&nbsp;the carpeting is a very high quality match for it as well. This carpet set is an exact copy of the factory original including all the fine details that you would expect from an OE spec carpet such as edge finishing and trim components. The kit comprises of a molded front mat with OE replica heel pad, a pair of molded wheel arch carpets that form part of the seat box, seat box side and top carpets, walk thru mat, and the small vertical step carpet. Also included is an underfelt kit as this will be required if the vehicle has no underfelt already fitted. Being a top quality labelled product it is ideal for finishing a high-end restoration project or just self-indulgence. Fitting notes: The gear lever hole is uncut but is stencil marked underneath for the option of manual or automatic transmission. We recommend positioning the carpet in place before cutting the hole to guarantee best fitment.</p>

<p>Comes with new underlayment/sound deadening as well.</p>

<p>Made in England.</p>

<p><iframe allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/t9o-DJEnfpM"" width=""560""></iframe></p>

<p>&nbsp;</p>",VanAgain,Body Mechanical & Trim,"80-83 Air Cooled Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","80-83 Air Cooled Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body Mechanical & Trim, product-id:11704, orders:22, 80-83-air-cooled-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon",TRUE,Active,251898003AGRY,,,,,,,,,,,699.00,,,TRUE,,,,,,shopify,0,DENY,30,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/Type-25-moulded-carpet-set-Charcoal.jpg,1,Front Carpet Set for Vanagon molded in dark Grey color,,FALSE,Front Carpet Set for Vanagon molded in Grey OE color,"Front Carpet Set for Vanagon molded in Grey OE color-80-83 Air Cooled Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",,Body Mechanical & Trim,,Adult,251898003AGRY,"80-83 Air Cooled Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon","Body Mechanical & Trim, 80-83 Air Cooled Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Body Mechanical & Trim,"80-83 Air Cooled Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon",has-image,from-products-table,
,front-carpet-set-for-vanagon-molded-in-grey-oe-color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/T25-Carpet-4.jpg,2,Front Carpet Set for Vanagon molded in dark Grey color,,,,,,,,,,,,,,,,,,
Cooling Fan Grill for 72-79 VW Bus and 80-83.5 AC Vanagon,cooling-fan-grill-for-72-79-vw-bus-and-80-83-5-ac-vanagon,"<p>This is the plastic grill that kind of looks like a catchers mask that goes over the cooling fan on all Type 4 VW engines.&nbsp; This includes 72-79 Bus and 80-83.5 Air Cooled Vanagon.&nbsp; If yours is damaged or missing, you should replace it as you don&#39;t want foreign objects sucked into your cooling system.</p>",VanAgain,Air Intake,"68-79 Bus, 80-83 Air Cooled Vanagon","68-79 Bus, 80-83 Air Cooled Vanagon, Air Intake, Climate Control, Coolant System, product-id:11763, orders:11, 68-79-bus, 80-83-air-cooled-vanagon",TRUE,Active,021119207,,,,,,,,,,,24.99,,,TRUE,,,,,,shopify,91,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/021119207.jpg,1,Cooling Fan Grill for 72-79 VW Bus and 80-83.5 AC Vanagon,,FALSE,Cooling Fan Grill for 72-79 VW Bus and 80-83.5 AC Vanagon,"Cooling Fan Grill for 72-79 VW Bus and 80-83.5 AC Vanagon-68-79 Bus, 80-83 Air Cooled Vanagon",,Air Intake,,Adult,021119207,"68-79 Bus, 80-83 Air Cooled Vanagon","Air Intake, 68-79 Bus, 80-83 Air Cooled Vanagon, legacy-import",New,TRUE,Air Intake,"68-79 Bus, 80-83 Air Cooled Vanagon",has-image,from-products-table,
Piston with Rings for AAF 5-cylinder STD size 92-93 Eurovan gas,piston-with-rings-for-aaf-5-cylinder-std-size-92-93-eurovan-gas,"<p>This is a set of 5 pistons with rings and piston pins in the Standard size (81mm) or .50mm oversized (please tell me when you check out which size you need) for all AAF 5-cylinder engines (gasoline).&nbsp; These engines were installed in 92-94 Eurovan.&nbsp; Please confirm your engine code before ordering.&nbsp; These are brand new.&nbsp; Here are the specifications:</p>

<ul>
	<li>Standard Size [STD]</li>
	<li>Bolt &Oslash; [mm]:&nbsp; 24.015 mm</li>
	<li>Bolt length [mm]:&nbsp; 56 mm</li>
	<li>Quantity required per engine: 5</li>
	<li>Bore &Oslash; [mm]:&nbsp; 81.01 mm</li>
	<li>Compression Height [mm]:&nbsp; 38.35 mm</li>
	<li>Length [mm]:&nbsp; 63.45 mm</li>
	<li>Piston protrusion [mm]:&nbsp; 1.1 mm</li>
	<li>Recess Depth 1 [mm]:&nbsp; 10.5 mm</li>
</ul>

<p>If you have a 94-95 Eurovan 5-cylinder, you may have an ACU code engine.&nbsp; These pistons will not work with that engine.&nbsp; Please contact me if you need those pistons or if you need an oversized version of this piston.&nbsp; All of these may be available, but please contact me first.</p>",VanAgain,Engine Parts,92-96 2.5L Eurovan,"92-96 2.5L Eurovan, Engine Parts, product-id:11779, orders:5, 92-96-25l-eurovan",TRUE,Active,044107065H,,,,,,,,,,,950.00,,,TRUE,,,,,,shopify,98,DENY,8,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/IMG_20180117_140110.jpg,1,Piston with Rings for AAF 5-cylinder STD size 92-93 Eurovan gas,,FALSE,Piston with Rings for AAF 5-cylinder STD size 92-93 Eurovan gas,Piston with Rings for AAF 5-cylinder STD size 92-93 Eurovan gas-92-96 2.5L Eurovan,,Engine Parts,,Adult,044107065H,92-96 2.5L Eurovan,"Engine Parts, 92-96 2.5L Eurovan, legacy-import",New,TRUE,Engine Parts,92-96 2.5L Eurovan,has-image,from-products-table,
,piston-with-rings-for-aaf-5-cylinder-std-size-92-93-eurovan-gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/IMG_20180117_140242.jpg,2,Piston with Rings for AAF 5-cylinder STD size 92-93 Eurovan gas,,,,,,,,,,,,,,,,,,
,piston-with-rings-for-aaf-5-cylinder-std-size-92-93-eurovan-gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/piston-with-rings-for-aaf-5-cylinder-std-size-92-93-eurovan-gas-0-1687537260.jpg,3,Piston with Rings for AAF 5-cylinder STD size 92-93 Eurovan gas,,,,,,,,,,,,,,,,,,
Speedometer Cable for 1992-1996 Eurovan,speedometer-cable-for-1992-1996-eurovan,"<p>Speedo cable 1430mm LHD.This cable is a one piece unit opposed to the original two piece unit that Volkswagen originally supplied, comes complete with exhaust heat shielding. &nbsp;</p>

<h2>Fitting:</h2>

<p>Fitting guide. To remove the old cable it is not necessary to remove the instrument cluster as access can be gained by lowering the fuse box cover lid, you now can reach up behind the cluster and unclip the cable. when this is done pull it though the bulkhead and unscrew the other end from the gearbox drive pinion. When refitting the cable make sure it is routed correctly with no sharp turns. The bulkhead grommet. This can be a little tricky to refit because of its location and size; the original grommet you will notice is square and the one that comes with the new cable is circular? Don&rsquo;t worry it will fit, just needs a little massaging into place.</p>

<h2>&nbsp;</h2>",VanAgain,Body - Electrical,92-96 2.5L Eurovan,"92-96 2.5L Eurovan, Body - Electrical, Body Mechanical & Trim, product-id:11785, orders:28, 92-96-25l-eurovan",TRUE,Active,701957803h,,,,,,,,,,,49.95,,,TRUE,,,,,,shopify,75,DENY,1,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/701957803H.jpg,1,Speedometer Cable for 1992-1996 Eurovan,,FALSE,Speedometer Cable for 1992-1996 Eurovan,Speedometer Cable for 1992-1996 Eurovan-92-96 2.5L Eurovan,,Body - Electrical,,Adult,701957803h,92-96 2.5L Eurovan,"Body - Electrical, 92-96 2.5L Eurovan, legacy-import",New,TRUE,Body - Electrical,92-96 2.5L Eurovan,has-image,from-products-table,
Redarc DUAL INPUT 25A IN-VEHICLE DC BATTERY CHARGER,dual-input-25a-in-vehicle-dc-battery-charger,"<p>Please Read this Article if you are interested in installing one of these but have questions BEFORE you call or email me to ask your questions.&nbsp; If you still have questions I will be glad to answer them AFTER you have read this article:</p>

<p><a href=""https://www.vanagain.com/article/installing-a-lithium-battery-into-a-vanagon"">https://www.vanagain.com/article/installing-a-lithium-battery-into-a-vanagon</a></p>

<p>Get the next generation in REDARC DC to DC charging technology with the REDARC BCDC1225D In-vehicle Dual Battery Charger. It&rsquo;s a 12 volt, 25A in-vehicle DC-DC battery charger designed to charge your secondary battery banks to 100% state of charge while on the move. Added features, such as a Maximum Power Point Tracking (MPPT) solar regulator and built-in&nbsp;<a href=""https://cdn.shopify.com/s/files/1/2204/8993/files/What_Is_Green_Power_Priority.pdf?9805888516603617229"" rel=""noopener noreferrer"" target=""_blank"">Green Power Priority</a>&nbsp;(primary solar selection), means you can charge your batteries using solar panels when driving or portable panels when stationary. With simultaneous DC and Solar inputs, this makes it the most advanced dual battery charger on the market today. Have the reassurance and confidence that your batteries will be charged to their optimal levels, thanks to a unique multi-stage charging algorithm that provides specific charging profiles tailored to all common battery types. The BCDC1225D is perfect for charging AGM, Gel, Standard Lead Acid, Calcium, and LiFePO4&nbsp;batteries. The unit works with 12- or 24-volt vehicle systems and with either standard or variable/smart alternators. The DC-DC battery charger has been proven to work in all types of terrains, including deep water crossings, and stands up against extreme heat (up to 176&deg;F). It&rsquo;s fully sealed against the risk of infiltration from water and dust and will hold up to the adventure at hand. Its designed to maximize the performance and life of your auxiliary battery and is suited for battery bank sizes of 75-200AH in most applications. <a href=""https://cdn.shopify.com/s/files/1/2204/8993/files/BCDC_range_brochure.pdf?10724516271193375589"" rel=""noopener noreferrer"" target=""_blank"">Download the REDARC BCDC brochure here.</a></p>

<p><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/Jxar7JLlcro"" width=""560""></iframe></p>",VanAgain,Accessories,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan, Accessories, Body - Electrical, Camper Parts, Electrical Items, product-id:11802, orders:33, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, 92-96-25l-eurovan, 97-03-28l-eurovan",TRUE,Active,bcdc1225d,,,,,,,,,,,439.00,,,TRUE,,,,,,shopify,98,DENY,2.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/IMG_20180215_115009.jpg,1,Redarc DUAL INPUT 25A IN-VEHICLE DC BATTERY CHARGER,,FALSE,DUAL INPUT 25A IN-VEHICLE DC BATTERY CHARGER,"DUAL INPUT 25A IN-VEHICLE DC BATTERY CHARGER-68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan",,Accessories,,Adult,bcdc1225d,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan","Accessories, 68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan, legacy-import",New,TRUE,Accessories,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan",has-image,from-products-table,
DUAL INPUT 40A IN-VEHICLE DC BATTERY CHARGER,dual-input-40a-in-vehicle-dc-battery-charger,"<p>Please Read this Article if you are interested in installing one of these but have questions BEFORE you call or email me to ask your questions.&nbsp; If you still have questions I will be glad to answer them AFTER you have read this article:</p>

<p><a href=""https://www.vanagain.com/article/installing-a-lithium-battery-into-a-vanagon"">https://www.vanagain.com/article/installing-a-lithium-battery-into-a-vanagon</a></p>

<p>If you have a 50 amp hour battery you want the smaller BCDC1225d 25 amp charger.&nbsp; If you have a larger battery install like 100 amp hours, then this charger is for you. The REDARC BCDC1240D is a 12V, 40A In-vehicle DC to DC Battery Charger designed to keep your auxiliary battery charged when driving or with portable solar panels when parked. It uses multi-stage DC-DC charging, a system that allows optimum charging levels for your auxiliary battery. The DC to DC battery charger works from a wide operating range (9-32V) and provides the option of charging from both 12V and 24V vehicle systems. Additional features include a Maximum Power Point Tracking (MPPT) solar regulator, which allows the maximum amount of power to be delivered from your solar panels to your auxiliary battery. The smart charger also acts a dual battery isolator. If the voltage gets too low, the start battery is protected. It&rsquo;s fan free creating a quiet operation, is fully sealed, and has multiple levels of fault protection.&nbsp;The BCDC1225D is perfect for charging AGM, Gel, Standard Lead Acid, Calcium, and LiFePO4&nbsp;batteries. The in-vehicle dual battery range keeps your auxiliary battery banks charged to their optimal levels and lets you continue your adventure uninterrupted. <a href=""https://cdn.shopify.com/s/files/1/2204/8993/files/BCDC_range_brochure.pdf?10724516271193375589"" rel=""noopener noreferrer"" target=""_blank"">Download the REDARC BCDC&nbsp;brochure here.</a></p>",VanAgain,Accessories,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan, Accessories, Body - Electrical, Camper Parts, Electrical Items, product-id:11804, orders:7, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, 92-96-25l-eurovan, 97-03-28l-eurovan",TRUE,Active,BCDC1240D,,,,,,,,,,,475.00,,,TRUE,,,,,,shopify,96,DENY,2.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/Image-pngweb-BCDC1240D_800x800.png,1,DUAL INPUT 40A IN-VEHICLE DC BATTERY CHARGER,,FALSE,DUAL INPUT 40A IN-VEHICLE DC BATTERY CHARGER,"DUAL INPUT 40A IN-VEHICLE DC BATTERY CHARGER-68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan",,Accessories,,Adult,BCDC1240D,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan","Accessories, 68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan, legacy-import",New,TRUE,Accessories,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan",has-image,from-products-table,
50 amp hour lithium battery for Westfalia,50-amp-hour-lithium-battery-for-westfalia,"<p>Please Read this Article if you are interested in installing one of these but have questions BEFORE you call or email me to ask your questions.&nbsp; If you still have questions I will be glad to answer them AFTER you have read this article:</p>

<p><a href=""https://www.vanagain.com/article/installing-a-lithium-battery-into-a-vanagon"">https://www.vanagain.com/article/installing-a-lithium-battery-into-a-vanagon</a></p>

<p>Lithium batteries are the wave of the future in every way.&nbsp; In our Vanagon Westfalia and other small campers they offer lots of benefits and few drawbacks. This battery will fit in the battery box under the driver&#39;s seat in either the Westfalia Vanagon or stock Vanagon.&nbsp; &nbsp; They can be used in any Camper no matter what year.&nbsp; However you will also want to buy a charger that can properly charge them to get the most life and reliability out of them.&nbsp; See our <a href=""https://www.vanagain.com/shop/dual-input-25a-in-vehicle-dc-battery-charger/""><strong>BCDC1225D</strong></a> charger for the correct charger for this battery. If you use your Vanagon camper or Westy in the way most folks do, you usually use your battery system for a few days here and there.&nbsp; Unless you have your van plugged into a charger between trips, you can find your house battery dead and damaged when you are ready to use it.&nbsp; The lithium battery holds its charge without being plugged into a charger for long periods of time.&nbsp; It isn&#39;t damaged if it is accidentally drained down to nothing, and can be quickly recharged to full capacity. Pros: 95 percent rated amp hour usage!&nbsp; Get almost the full rated use out of your battery without damaging it unlike lead acide which will become damaged if you use them below 50% their rating. No memory for charging!&nbsp; Recharge to any level without damaging the battery. Charge to full capacity in just a couple of hours!&nbsp; Lead acid can take a couple of days to return to full capacity without getting damaged. Lightweight! Smart battery with BMS (will prevent you from hooking it up wrong or damaging it in most cases). Extended battery life (up to 10 times the life of a typical lead acid battery). Charge loss when not actively being charged is very low (3 % per month versus 30% per month with lead acid). Built to with safety in mind, no fires or explosions due to battery thermal runaway. 5 year warranty! Cons: Can&#39;t charge below freezing. Price.&nbsp; (However if it is lasting 10 times longer, this would actually be cheaper or the same cost over time). <strong>Shipping:</strong> Shipping is only available to the continental US.&nbsp; Shipping is $75 flat rate for either one or two of these batteries.&nbsp; They are considered a Hazardous Material and so shipping them has to go ground and is complicated.&nbsp; That is why it cost so much. Please ignore all other shipping methods and choose Flat Rate for your shipping.&nbsp; No the USPS $7 shipping is an error and not real so please don&#39;t choose it!&nbsp; Also I can&#39;t sell these outside of the continental USA so if you are reading this from another country, or PR, AK, or HI, I am sorry but I can&#39;t ship this to you.</p>

<p><iframe allow=""autoplay; encrypted-media"" allowfullscreen="""" frameborder=""0"" height=""315"" src=""https://www.youtube.com/embed/Jxar7JLlcro"" width=""560""></iframe></p>

<p>&nbsp;</p>",VanAgain,Accessories,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan","68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan, Accessories, Body - Electrical, Camper Parts, Electrical Items, product-id:11806, orders:18, 68-79-bus, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, 92-96-25l-eurovan, 97-03-28l-eurovan",TRUE,Active,rb50,,,,,,,,,,,699.00,758.50,,TRUE,,,,,,shopify,0,DENY,50,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/Relion-RB50.jpg,1,50 amp hour lithium battery for Westfalia,,FALSE,50 amp hour lithium battery for Westfalia,"50 amp hour lithium battery for Westfalia-68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan",,Accessories,,Adult,rb50,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan","Accessories, 68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan, legacy-import",New,TRUE,Accessories,"68-79 Bus, 80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, 92-96 2.5L Eurovan, 97-03 2.8L Eurovan",has-image,from-products-table,
Lower Timing Belt Cover for 2.5l Eurovan 92-95,lower-timing-belt-cover-for-2-5l-eurovan-92-95,"<p>I have a brand new lower timing belt cover for 92-95 Eurovan with a the 2.5l 5-cylinder engine.&nbsp; These are super hard to find but I did find a few in Germany.&nbsp; They are OE VW and NOS so once they are gone, they will probably be gone forever. It is number 4 in the picture.</p>",VanAgain,Engine Parts,92-96 2.5L Eurovan,"92-96 2.5L Eurovan, Engine Parts, product-id:11836, orders:1, 92-96-25l-eurovan",FALSE,Draft,074109127c,,,,,,,,,,,59.00,,,TRUE,,,,,,shopify,0,DENY,0.25,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/074109127C.jpg,1,Lower Timing Belt Cover for 2.5l Eurovan 92-95,,FALSE,Lower Timing Belt Cover for 2.5l Eurovan 92-95,Lower Timing Belt Cover for 2.5l Eurovan 92-95-92-96 2.5L Eurovan,,Engine Parts,,Adult,074109127c,92-96 2.5L Eurovan,"Engine Parts, 92-96 2.5L Eurovan, legacy-import",New,TRUE,Engine Parts,92-96 2.5L Eurovan,has-image,from-products-table,
Fiberglas panel in front of sliding door for GL and Carat Vanagon 88-92,fiberglas-panel-in-front-of-sliding-door-for-gl-and-carat-vanagon-88-92,"<p>This is the small fiberglas panel that is in front of the sliding door.&nbsp; It is one piece of the entire body kit that came stock on the 88-92 Vanagon GL and Carat Editions (some Wolfsburg/Carat in 88).&nbsp; This is one of the pieces that I am asked about all of the time because it gets damaged or lost.&nbsp; This is a brand new piece.&nbsp; It is primered white so you will need to paint it to match your van.&nbsp; It has a hole in it for the front passenger side jack point.&nbsp; Not sure how many of these we will be able to get, so order yours today!</p>",VanAgain,Body Mechanical & Trim,86-92 2.1L Vanagon,"86-92 2.1L Vanagon, Body Mechanical & Trim, product-id:11846, 86-92-21l-vanagon",TRUE,Active,255853974A,,,,,,,,,,,119.00,,,TRUE,,,,,,shopify,0,DENY,0.5,g,TRUE,manual,https://ph3ar-vercel.s3.amazonaws.com/products/255853974A_1.jpg,1,Fiberglas panel in front of sliding door for GL and Carat Vanagon 88-92,,FALSE,Fiberglas panel in front of sliding door for GL and Carat Vanagon 88-92,Fiberglas panel in front of sliding door for GL and Carat Vanagon 88-92-86-92 2.1L Vanagon,,Body Mechanical & Trim,,Adult,255853974A,86-92 2.1L Vanagon,"Body Mechanical & Trim, 86-92 2.1L Vanagon, legacy-import",New,TRUE,Body Mechanical & Trim,86-92 2.1L Vanagon,has-image,from-products-table,
,fiberglas-panel-in-front-of-sliding-door-for-gl-and-carat-vanagon-88-92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://ph3ar-vercel.s3.amazonaws.com/products/255853974A.jpg,2,Fiberglas panel in front of sliding door for GL and Carat Vanagon 88-92,,,,,,,,,,,,,,,,,,
