Handle,Title,Tags,Option1 Name,Option1 Value
rear-bumper-black-no-pad-holes,Rear Bumper (Black) (no pad holes) for Vanagon,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body Mechanical & Trim, product-id:300, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, body-mechanical-trim, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:body-mechanical-trim",Title,Default Title
bumper-pad-for-rear-chrome-bumper,Bumper Pad for Rear Chrome Bumper,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body Mechanical & Trim, product-id:302, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, body-mechanical-trim, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:body-mechanical-trim",Title,Default Title
rocker-repair-panel-drivers-side-for-all-vanagons,Rocker Repair Panel (driver's side) for all Vanagons,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body Mechanical & Trim, product-id:304, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, body-mechanical-trim, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:body-mechanical-trim",Title,Default Title
engine-cover-seal,Engine Cover Seal for all Vanagon,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body Mechanical & Trim, Engine Parts, product-id:306, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, body-mechanical-trim, engine-parts, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:body-mechanical-trim, category:engine-parts",Title,Default Title
piston-ring-set-021198175,Piston Ring Set,"68-79 Bus, Engine Parts, product-id:308, 68-79-bus, engine-parts, vehicle:68-79-bus, category:engine-parts",Title,Default Title
rocker-repair-panel,Splash Panning for driver's Side Vanagon (2.1L),"86-92 2.1L Vanagon, Body Mechanical & Trim, Engine Parts, product-id:310, 86-92-21l-vanagon, body-mechanical-trim, engine-parts, vehicle:86-92-21l-vanagon, category:body-mechanical-trim, category:engine-parts",Title,Default Title
engine-to-body-seal,Engine to Body Seal for 80-83 Air Cooled Vanagon,"80-83 Air Cooled Vanagon, Body Mechanical & Trim, Engine Parts, product-id:312, 80-83-air-cooled-vanagon, body-mechanical-trim, engine-parts, vehicle:80-83-air-cooled-vanagon, category:body-mechanical-trim, category:engine-parts",Title,Default Title
rear-corner-repair-panel-lower-left,Rear Corner Repair Panel (lower left),"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body Mechanical & Trim, product-id:314, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, body-mechanical-trim, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:body-mechanical-trim",Title,Default Title
rear-corner-repair-panel-lower-right,Rear Corner Repair Panel (lower right),"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Body Mechanical & Trim, product-id:316, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, body-mechanical-trim, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:body-mechanical-trim",Title,Default Title
heater-fan-for-early-vanagon,Heater Fan for Dash for all Vanagon,"80-83 Air Cooled Vanagon, 82-84 Diesel Vanagon, 83-85 1.9L Vanagon, 86-92 2.1L Vanagon, Climate Control, product-id:318, 80-83-air-cooled-vanagon, 82-84-diesel-vanagon, 83-85-19l-vanagon, 86-92-21l-vanagon, climate-control, vehicle:80-83-air-cooled-vanagon, vehicle:82-84-diesel-vanagon, vehicle:83-85-19l-vanagon, vehicle:86-92-21l-vanagon, category:climate-control",Title,Default Title
